LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3243202202 - GUDANG RENGASDENGKLOK - GUDANG,3243202202,GUDANG RENGASDENGKLOK,JAWA BARAT,TR3,"JL. RAYA RENGASDENGKLOK, KEL. RENGASDENGKLOK SELATAN, KEC. RENGASDENGKLOK, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,15.32,AKTIF,,,ID002147
3243202301 - STO RESINDA - OFFICE,3243202301,STO RESINDA,JAWA BARAT,TR3,"JL. KAWASAN PERUM RESINDA, KARAWANG, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,962.45,AKTIF,,,ID002148
3243202302 - GUDANG RESINDA - GUDANG,3243202302,GUDANG RESINDA,JAWA BARAT,TR3,"JL. KAWASAN PERUM RESINDA, KARAWANG, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,71.36,AKTIF,,,ID002149
3243202303 - HALAMAN STO RESINDA - HALAMAN,3243202303,HALAMAN STO RESINDA,JAWA BARAT,TR3,"JL. KAWASAN PERUM RESINDA, KARAWANG, KAB. KARAWANG",HALAMAN,KAB. KARAWANG,KARAWANG,KELAS 6,"3,233.29",AKTIF,,,ID002150
3243202401 - STO SUBANG - OFFICE,3243202401,STO SUBANG,JAWA BARAT,TR3,"JL. KERTA WIGENDA NO. 27, KAB. SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,952.87,AKTIF,,,ID002151
3243202402 - GUDANG SUBANG - GUDANG,3243202402,GUDANG SUBANG,JAWA BARAT,TR3,"JL. KERTA WIGENDA NO. 27, KAB. SUBANG",GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,93.84,AKTIF,,,ID002152
3243202403 - HALAMAN STO SUBANG - HALAMAN,3243202403,HALAMAN STO SUBANG,JAWA BARAT,TR3,"JL. KERTA WIGENDA NO. 27, KAB. SUBANG",HALAMAN,KAB. SUBANG,KARAWANG,KELAS 6,"1,338.58",AKTIF,,,ID002153
3243202501 - STO TANJUNG PAKIS - OFFICE,3243202501,STO TANJUNG PAKIS,JAWA BARAT,TR3,"KAMP. PAKIS I, RT 002 / 005. KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 3,30.12,AKTIF,,,ID002154
3243202502 - HALAMAN STO TANJUNG PAKIS - HALAMAN,3243202502,HALAMAN STO TANJUNG PAKIS,JAWA BARAT,TR3,"KAMP. PAKIS I, RT 002 / 005. KAB. KARAWANG",HALAMAN,KAB. KARAWANG,KARAWANG,KELAS 6,32.20,AKTIF,,,ID002155
3243202601 - STO TELUK JAMBE - OFFICE,3243202601,STO TELUK JAMBE,JAWA BARAT,TR3,"JL. RAYA TELUK JAMBE, KEL. SIRNA BAYA, KEC. TELUK JAMBE TIMUR, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,375.43,AKTIF,,,ID002156
3243202602 - GUDANG TELUK JAMBE - GUDANG,3243202602,GUDANG TELUK JAMBE,JAWA BARAT,TR3,"JL. RAYA TELUK JAMBE, KEL. SIRNA BAYA, KEC. TELUK JAMBE TIMUR, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,234.66,AKTIF,,,ID002157
3243202701 - STO WADAS - OFFICE,3243202701,STO WADAS,JAWA BARAT,TR3,"JL. RAYA WADAS, RT. 07/02, KEL. LEMAH ABANG WADAS, KEC. LEMAH ABANG WADAS, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,167.71,AKTIF,,,ID002158
3243202702 - GUDANG WADAS - GUDANG,3243202702,GUDANG WADAS,JAWA BARAT,TR3,"JL. RAYA WADAS, RT. 07/02, KEL. LEMAH ABANG WADAS, KEC. LEMAH ABANG WADAS, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,16.78,AKTIF,,,ID002159
3243202801 - STO WARUNG KANDANG PLERED - OFFICE,3243202801,STO WARUNG KANDANG PLERED,JAWA BARAT,TR3,"JL. WARUNG KANDANG, KEL. SINDANG SARI, KEC. PLERED, KAB. PURWAKARTA",OFFICE,KAB. PURWAKARTA,KARAWANG,KELAS 4,148.99,AKTIF,,,ID002160
3243202802 - GUDANG PLERED - GUDANG,3243202802,GUDANG PLERED,JAWA BARAT,TR3,"JL. WARUNG KANDANG, KEL. SINDANG SARI, KEC. PLERED, KAB. PURWAKARTA",GUDANG,KAB. PURWAKARTA,KARAWANG,KELAS 5,17.95,AKTIF,,,ID002161
